,wind speed in knots (TWS),  speed in knots
71,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
72,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
73,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
74,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
75,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.4,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
76,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
77,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,6.0,6.0,6.1,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
78,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,6.0,6.0,6.1,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
79,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.9,6.0,6.0,6.1,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
80,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.9,6.0,6.1,6.1,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
81,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.8,5.9,6.0,6.1,6.1,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
82,0.0,0.9,1.8,2.7,3.7,4.6,5.0,5.3,5.5,5.8,5.9,6.0,6.1,6.1,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
83,0.0,0.9,1.8,2.7,3.7,4.6,5.0,5.3,5.5,5.8,5.9,6.0,6.1,6.1,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
84,0.0,0.9,1.8,2.7,3.7,4.6,5.0,5.3,5.5,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
85,0.0,0.9,1.8,2.7,3.7,4.6,4.9,5.3,5.5,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
86,0.0,0.9,1.8,2.7,3.6,4.6,4.9,5.3,5.5,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
87,0.0,0.9,1.8,2.7,3.6,4.6,4.9,5.3,5.5,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
88,0.0,0.9,1.8,2.7,3.6,4.6,4.9,5.3,5.5,5.8,5.9,6.0,6.1,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
89,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
90,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
91,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
92,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
93,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.1,6.1,6.2,6.3,6.4,6.4,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
94,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.1,6.1,6.2,6.3,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
95,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.1,6.2,6.2,6.3,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
96,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,5.9,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
97,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.4,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
98,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
99,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.5,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
100,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.5,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
101,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
102,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
103,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
104,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.1,6.2,6.4,6.4,6.5,6.6,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
105,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.1,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
106,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
107,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
108,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
109,0.0,0.9,1.8,2.7,3.6,4.5,5.0,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
110,0.0,0.9,1.8,2.7,3.6,4.5,5.0,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
111,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
112,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
113,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
114,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.4,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
115,0.0,0.9,1.8,2.7,3.6,4.4,4.9,5.3,5.6,5.9,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
116,0.0,0.9,1.8,2.7,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
117,0.0,0.9,1.8,2.6,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.2,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
118,0.0,0.9,1.8,2.6,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
119,0.0,0.9,1.8,2.6,3.5,4.4,4.8,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
120,0.0,0.9,1.8,2.6,3.5,4.4,4.8,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
121,0.0,0.9,1.7,2.6,3.5,4.3,4.8,5.3,5.5,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
122,0.0,0.9,1.7,2.6,3.5,4.3,4.8,5.2,5.5,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
123,0.0,0.9,1.7,2.6,3.4,4.3,4.7,5.2,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
124,0.0,0.9,1.7,2.6,3.4,4.3,4.7,5.2,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
125,0.0,0.8,1.7,2.5,3.4,4.2,4.7,5.1,5.4,5.7,5.9,6.1,6.2,6.4,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
126,0.0,0.8,1.7,2.5,3.4,4.2,4.7,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
127,0.0,0.8,1.7,2.5,3.3,4.2,4.6,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
128,0.0,0.8,1.7,2.5,3.3,4.1,4.6,5.1,5.4,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
129,0.0,0.8,1.6,2.5,3.3,4.1,4.6,5.0,5.3,5.7,5.8,6.0,6.2,6.3,6.5,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
130,0.0,0.8,1.6,2.4,3.3,4.1,4.5,5.0,5.3,5.7,5.8,6.0,6.2,6.3,6.5,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
131,0.0,0.8,1.6,2.4,3.2,4.0,4.5,5.0,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
132,0.0,0.8,1.6,2.4,3.2,4.0,4.5,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
133,0.0,0.8,1.6,2.4,3.2,4.0,4.4,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
134,0.0,0.8,1.6,2.4,3.2,3.9,4.4,4.9,5.2,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
135,0.0,0.8,1.6,2.4,3.1,3.9,4.4,4.9,5.2,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
136,0.0,0.8,1.6,2.3,3.1,3.9,4.4,4.8,5.2,5.5,5.7,5.9,6.1,6.2,6.4,6.6,6.7,6.8,6.9,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
137,0.0,0.8,1.5,2.3,3.1,3.9,4.3,4.8,5.2,5.5,5.7,5.9,6.1,6.2,6.4,6.5,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
138,0.0,0.8,1.5,2.3,3.1,3.8,4.3,4.8,5.1,5.5,5.7,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
139,0.0,0.8,1.5,2.3,3.0,3.8,4.3,4.7,5.1,5.5,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
140,0.0,0.8,1.5,2.3,3.0,3.8,4.2,4.7,5.1,5.4,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
141,0.0,0.7,1.5,2.2,3.0,3.7,4.2,4.7,5.0,5.4,5.6,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
142,0.0,0.7,1.5,2.2,3.0,3.7,4.2,4.6,5.0,5.4,5.6,5.8,6.0,6.1,6.3,6.5,6.6,6.7,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
